deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.07148719;0.07148719;-0.00284676;-0.01824863;-1.50536489;-0.00092081;0.00078018;-0.00579125 
0.24430585;0.31579304;-0.00288761;-0.01843150;-1.50499368;0.00051126;0.00214917;0.00053915 
0.25510311;0.57089615;-0.00291085;-0.01818318;-1.50458813;0.00047338;-0.00106732;0.00141976 
0.24493814;0.81583428;-0.00299121;-0.01799764;-1.50444543;0.00002491;0.00052348;-0.00426479 
0.24996161;1.06579590;-0.00302830;-0.01823649;-1.50402963;-0.00039699;-0.00089277;0.00187186 
0.25304246;1.31883836;-0.00292125;-0.01845990;-1.50358558;0.00057367;-0.00130257;0.00512146 
0.25201464;1.57085299;-0.00292439;-0.01868024;-1.50353372;-0.00065736;-0.00175417;0.00130655 
0.24998164;1.82083464;-0.00287059;-0.01856341;-1.50320351;-0.00023829;0.00035606;0.00144587 
0.25004101;2.07087564;-0.00276795;-0.01852481;-1.50297034;-0.00089976;0.00042212;-0.00475835 
0.25314474;2.32402039;-0.00270419;-0.01856352;-1.50275707;-0.00061182;-0.00106857;0.00249301 
0.25893688;2.58295727;-0.00270894;-0.01867678;-1.50240350;0.00121507;-0.00017676;0.00407630 
0.23808384;2.82104111;-0.00256293;-0.01857392;-1.50214732;0.00089599;-0.00048199;0.00197027 
0.25986433;3.08090544;-0.00256849;-0.01848409;-1.50187635;0.00000249;-0.00099953;0.00138446 
0.25007415;3.33097959;-0.00241692;-0.01862766;-1.50152636;-0.00038298;0.00010632;0.00120520 
0.26448917;3.59546876;-0.00231364;-0.01875671;-1.50122225;0.00105605;-0.00066208;-0.00048246 
0.22552586;3.82099462;-0.00221949;-0.01862181;-1.50094879;-0.00126325;-0.00131296;-0.00035175 
0.24801493;4.06900954;-0.00228207;-0.01856607;-1.50066352;0.00021128;-0.00066194;0.00087614 
0.25333166;4.32234120;-0.00234511;-0.01849295;-1.50039291;-0.00049273;0.00029681;-0.00112633 
0.25902390;4.58136511;-0.00227513;-0.01836935;-1.50015819;-0.00059026;0.00007172;-0.00153568 
0.25319028;4.83455539;-0.00222196;-0.01826720;-1.49995196;0.00091053;0.00030198;0.00011524 
0.23633170;5.07088709;-0.00231840;-0.01818762;-1.49968159;-0.00026270;-0.00124604;0.00083068 
0.26032114;5.33120823;-0.00214018;-0.01809543;-1.49944913;-0.00010301;-0.00055706;-0.00042821 
0.25292444;5.58413267;-0.00197748;-0.01784098;-1.49904573;-0.00003592;0.00075309;0.00452136 
0.23273373;5.81686640;-0.00192857;-0.01785842;-1.49891245;-0.00102546;-0.00071389;-0.00157043 
