deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.19411349;0.19411349;0.01018907;0.01076414;-1.25720966;-0.00108967;0.00009546;0.00172335 
0.25634241;0.45045590;0.01026955;0.01067187;-1.25822210;-0.00003455;-0.00011979;0.00123856 
0.23831391;0.68876982;0.01033898;0.01065271;-1.25903869;-0.00012159;-0.00051305;0.00143986 
0.24957490;0.93834472;0.01039601;0.01067827;-1.25982821;-0.00118360;-0.00047940;0.00074517 
0.25074720;1.18909192;0.01048647;0.01063902;-1.26063395;-0.00018904;-0.00003005;0.00144110 
0.25041819;1.43951011;0.01054936;0.01057041;-1.26142883;0.00004379;0.00009686;0.00213143 
0.24953604;1.68904614;0.01055594;0.01055131;-1.26217914;-0.00020493;0.00006874;0.00043116 
0.25000262;1.93904877;0.01053995;0.01052472;-1.26292551;0.00036334;-0.00049844;0.00038737 
0.24996090;2.18900967;0.01055057;0.01052604;-1.26360977;-0.00110934;-0.00021720;0.00090456 
0.24540043;2.43441010;0.01058333;0.01049810;-1.26442313;-0.00062976;-0.00020296;0.00093886 
0.25454664;2.68895674;0.01061393;0.01051323;-1.26507401;0.00006279;0.00009636;0.00071696 
0.25514865;2.94410539;0.01061768;0.01048955;-1.26584864;-0.00089071;0.00030565;0.00027017 
0.23988700;3.18399239;0.01062658;0.01049884;-1.26655364;-0.00045268;-0.00012089;0.00111289 
0.26061416;3.44460654;0.01069432;0.01044650;-1.26730680;-0.00053548;0.00038535;0.00000022 
0.25890088;3.70350742;0.01079901;0.01041202;-1.26798391;-0.00014690;-0.00018446;-0.00003964 
0.23523402;3.93874145;0.01083551;0.01037310;-1.26866448;-0.00027652;-0.00029174;0.00085487 
0.24580812;4.18454957;0.01091527;0.01039252;-1.26929951;0.00025561;0.00017444;0.00085521 
0.25155640;4.43610597;0.01095245;0.01036244;-1.27006173;-0.00087385;-0.00058797;0.00036827 
0.24777341;4.68387938;0.01098278;0.01034471;-1.27069664;-0.00060929;0.00017194;0.00116359 
0.24233127;4.92621064;0.01096925;0.01032245;-1.27141595;-0.00044743;-0.00008758;0.00060074 
0.25829935;5.18450999;0.01086573;0.01027484;-1.27203870;-0.00013556;-0.00008594;0.00024569 
0.26450920;5.44901919;0.01078235;0.01024951;-1.27264524;-0.00066437;0.00061198;0.00022182 
0.25773263;5.70675182;0.01058420;0.01023807;-1.27323544;-0.00119076;0.00020274;0.00093628 
0.23210001;5.93885183;0.01052018;0.01025733;-1.27382863;-0.00012921;0.00043827;0.00067062 
0.24664760;6.18549943;0.01042082;0.01017831;-1.27436066;0.00031086;-0.00001184;-0.00014342 
0.25318336;6.43868279;0.01030822;0.01015706;-1.27493286;-0.00031756;-0.00039277;0.00059612 
0.24333930;6.68202209;0.01023936;0.01012271;-1.27545679;-0.00045834;-0.00059586;0.00049181 
0.25760484;6.93962693;0.01022493;0.01007655;-1.27585828;-0.00012696;-0.00065777;0.00058831 
0.24871469;7.18834162;0.01016310;0.00995365;-1.27637124;-0.00113817;-0.00024224;0.00103084 
0.26167774;7.45001936;0.01013185;0.00985858;-1.27682340;-0.00016022;0.00018225;0.00074707 
0.24404263;7.69406199;0.01006883;0.00981806;-1.27725470;0.00070642;0.00063963;0.00044721 
0.24107218;7.93513417;0.00992295;0.00977749;-1.27781320;0.00024564;-0.00029962;0.00086057 
0.24828577;8.18341994;0.00978100;0.00974693;-1.27823400;-0.00043195;-0.00037176;0.00018035 
0.25003052;8.43345046;0.00966653;0.00966273;-1.27868605;-0.00054216;-0.00039015;0.00109562 
0.25354671;8.68699718;0.00957931;0.00960100;-1.27919412;-0.00014336;-0.00018431;0.00007428 
0.24808192;8.93507910;0.00939961;0.00960162;-1.27961314;0.00013654;0.00013886;0.00028339 
0.26371861;9.19879770;0.00924723;0.00957471;-1.28010607;-0.00107653;-0.00087689;0.00067884 
0.23885536;9.43765306;0.00910184;0.00960246;-1.28049684;-0.00052248;-0.00006066;0.00004571 
0.24848509;9.68613815;0.00892302;0.00960800;-1.28094769;-0.00017106;0.00015496;-0.00046001 
0.25229430;9.93843246;0.00878763;0.00954952;-1.28145099;0.00001509;-0.00012675;0.00075300 
0.25511384;10.19354630;0.00876163;0.00947021;-1.28191221;0.00031214;0.00018018;-0.00005004 
0.23479748;10.42834377;0.00859595;0.00942330;-1.28235841;-0.00027775;0.00004894;-0.00014260 
0.26518416;10.69352794;0.00846677;0.00931960;-1.28275979;-0.00106986;-0.00030718;0.00011620 
0.24485135;10.93837929;0.00838465;0.00928278;-1.28311300;-0.00054854;-0.00001969;0.00040951 
0.24658203;11.18496132;0.00832078;0.00925139;-1.28353202;-0.00005873;-0.00020848;0.00026761 
0.24357009;11.42853141;0.00824512;0.00921354;-1.28389502;-0.00066326;-0.00011306;-0.00050663 
0.25899243;11.68752384;0.00818600;0.00920432;-1.28421688;-0.00002962;-0.00061950;-0.00073223 
0.24576259;11.93328643;0.00800967;0.00916390;-1.28456640;-0.00079705;-0.00002414;0.00051529 
0.25806856;12.19135499;0.00787247;0.00907183;-1.28485239;-0.00041196;0.00003511;0.00008461 
0.24374342;12.43509841;0.00785416;0.00909042;-1.28519416;-0.00050193;0.00060682;0.00034071 
0.24814010;12.68323851;0.00776786;0.00906757;-1.28549862;-0.00090004;0.00006412;0.00026777 
0.25000644;12.93324494;0.00759927;0.00901319;-1.28580475;-0.00052203;-0.00042897;0.00033692 
0.24485254;13.17809749;0.00748150;0.00898941;-1.28614986;-0.00111615;0.00002895;0.00004922 
0.25002813;13.42812562;0.00749070;0.00881980;-1.28645575;0.00003088;0.00009148;-0.00003761 
0.25549531;13.68362093;0.00728043;0.00889662;-1.28677464;-0.00047479;-0.00038113;-0.00012208 
0.25001574;13.93363667;0.00727177;0.00895929;-1.28707659;-0.00042240;-0.00078451;-0.00050341 
0.24980140;14.18343806;0.00755675;0.00878198;-1.28726125;0.00042257;-0.00042271;0.00063010 
0.24997544;14.43341351;0.00779713;0.00855911;-1.28763330;0.00028159;-0.00040046;-0.00016782 
0.24996901;14.68338251;0.00796289;0.00846402;-1.28797698;-0.00047723;-0.00028210;-0.00002614 
0.25465035;14.93803287;0.00807333;0.00838675;-1.28820324;-0.00112083;-0.00024752;0.00138608 
0.24493575;15.18296862;0.00818719;0.00838664;-1.28843153;-0.00067462;0.00020272;0.00044912 
0.25516343;15.43813205;0.00825252;0.00831390;-1.28876019;-0.00069287;-0.00028485;-0.00099223 
0.24866533;15.68679738;0.00823732;0.00824387;-1.28901315;0.00005205;0.00016470;-0.00017281 
0.24120831;15.92800570;0.00840739;0.00837493;-1.28929591;-0.00082863;-0.00039972;-0.00020842 
0.26014638;16.18815207;0.00826774;0.00845880;-1.28954697;-0.00116232;-0.00100626;0.00062646 
0.24976015;16.43791223;0.00834869;0.00852179;-1.28980434;-0.00042084;-0.00032503;-0.00017414 
0.24838042;16.68629265;0.00835786;0.00876753;-1.29031813;-0.00183833;0.00133497;-0.01149572 
0.25176573;16.93805838;0.00946887;0.00746710;-1.29043889;0.02907539;-0.01723803;0.05215029 
0.26000381;17.19806218;0.00913371;0.00726582;-1.29113412;-0.00696209;-0.02430660;-0.06839492 
0.23858023;17.43664241;0.01046706;0.00785506;-1.28969860;0.02143091;-0.00432869;-0.04294845 
0.25889325;17.69553566;0.00924071;0.00871167;-1.29042101;-0.02759811;0.03382633;0.02693374 
0.23730898;17.93284464;0.00834793;0.00910677;-1.29107881;-0.04375922;0.00463713;-0.01672557 
0.26020145;18.19304609;0.00874378;0.00908159;-1.29084325;-0.00924119;0.00717760;-0.00008736 
0.24487829;18.43792439;0.00893674;0.00907042;-1.29146075;-0.00192052;0.00575133;-0.01653487 
0.26841903;18.70634341;0.01100673;0.00828799;-1.29058051;0.05271018;0.01230584;0.02855715 
0.22137094;18.92771435;0.01043574;0.00783821;-1.29112136;-0.00155440;0.00276722;-0.01451560 
0.26527119;19.19298553;0.01042997;0.00738821;-1.29150212;0.00530497;0.00418193;0.00998600 
0.24481297;19.43779850;0.00980848;0.00716617;-1.29114187;-0.04069659;-0.01493507;0.01153732 
0.24845409;19.68625259;0.01128044;0.00770139;-1.29082370;-0.00200256;0.00193302;-0.00108307 
0.24645305;19.93270564;0.01064736;0.00754512;-1.29145873;0.02327195;0.00029108;-0.00746393 
0.26006913;20.19277477;0.01020090;0.00761019;-1.29140759;0.00237319;-0.01004285;-0.00855217 
0.23489547;20.42767024;0.01001685;0.00764118;-1.29146862;-0.01242659;0.00758832;-0.00380271 
0.25539708;20.68306732;0.01052176;0.00808870;-1.29169643;-0.03527043;0.00951206;-0.00566694 
0.24995470;20.93302202;0.01100990;0.00752764;-1.29169762;0.02528813;0.00451115;-0.00464895 
0.24993110;21.18295312;0.01058882;0.00749456;-1.29180646;-0.00946579;-0.00640914;-0.01609908 
0.25506854;21.43802166;0.01101631;0.00761873;-1.29183054;0.01807120;0.01401267;0.00962518 
0.24897861;21.68700027;0.01050133;0.00700537;-1.29231703;-0.00115392;0.00409762;0.00716096 
0.25619435;21.94319463;0.01056211;0.00720112;-1.29189980;-0.03727019;-0.01310784;0.00444988 
0.24355268;22.18674731;0.01144043;0.00709568;-1.29144549;0.00606715;0.00526541;0.01205175 
0.28784418;22.47459149;0.01095260;0.00681044;-1.29205573;-0.01228499;0.00474061;-0.01065928 
0.20831275;22.68290424;0.01153596;0.00691560;-1.29230666;0.02374705;-0.00500192;-0.00516029 
0.26509714;22.94800138;0.01289428;0.00513852;-1.29034805;0.03493361;-0.04388709;0.01379871 
0.23850846;23.18650985;0.01571089;0.00131145;-1.28604841;-0.02963575;-0.04269959;0.06466755 
0.24831033;23.43482018;0.01985437;-0.00200666;-1.28725970;0.04907063;-0.06498574;-0.00992547 
0.24782896;23.68264914;0.07656669;-0.07805870;-1.25921261;0.41232008;-0.54761386;0.24716927 
0.26808357;23.95073271;0.00778161;-0.04642519;-1.13076866;-0.41358399;0.54817390;0.74047774 
0.23349595;24.18422866;-0.04587750;0.05040189;-0.91589171;0.00982139;0.18893003;0.84437311 
0.24830818;24.43253684;-0.04146285;0.07569192;-0.73981172;-0.17385529;0.07217205;0.51171708 
0.25339746;24.68593431;-0.05431412;0.03909924;-0.66735250;-0.08124505;-0.03237177;0.14325258 
0.24813175;24.93406606;-0.04576536;0.00144889;-0.67328686;0.05188175;-0.13592069;-0.11774849 
0.24872541;25.18279147;-0.02379442;-0.04396778;-0.70185363;0.01408804;-0.16135757;-0.17992589 
0.25466037;25.43745184;-0.00645671;-0.07581981;-0.75531101;0.11532717;-0.00884493;-0.21202315 
0.25008845;25.68754029;0.20057559;-0.08231003;-0.79608792;1.56636930;-0.17165039;-0.16146007 
0.26393986;25.95148015;0.33118850;-0.10158141;-0.83088648;-0.38953409;-0.09985892;-0.09328748 
0.23315072;26.18463087;0.01107716;-0.08985313;-0.83459407;-0.83499253;-0.01045130;0.03244113 
0.25618863;26.44081950;-0.03673480;-0.12511398;-0.81095850;-0.05222148;-0.09927535;0.05234507 
