deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)
0.16045284	0.16045284	-0.01730209	0.07630153	1.70348537	-0.00017652	-0.00137222	0.00059495	900	900	900	900
0.25152874	0.41198158	-0.01725577	0.07631741	1.70354235	0.00098073	-0.00097763	0.00076479	900	900	900	900
0.23691893	0.64890051	-0.01722827	0.07631405	1.70342445	-0.00014099	-0.00164333	0.00090647	900	900	900	900
0.26316214	0.91206264	-0.01720788	0.07638109	1.70327365	-0.00059891	-0.0008006	0.0010185	900	900	900	900
0.23366976	1.1457324	-0.01720805	0.07638069	1.70315218	-0.0001545	-0.00104573	0.00100183	900	900	900	900
0.26995873	1.41569114	-0.01720199	0.07638827	1.70304525	-0.00047999	-0.00123605	0.00091166	900	900	900	900
0.23773336	1.6534245	-0.01718839	0.07639334	1.70298874	0.00050974	-0.00128714	0.00081972	900	900	900	900
0.24790287	1.90132737	-0.01722993	0.07638051	1.70290351	-0.00016859	-0.00086714	0.00129536	900	900	900	900
0.24568009	2.14700747	-0.01721802	0.07638492	1.70277393	-0.00021854	-0.00109916	0.0010245	900	900	900	900
0.24435902	2.39136648	-0.01727668	0.07639778	1.70268631	-0.00129116	-0.00120424	0.00085955	900	900	900	900
0.26178408	2.65315056	-0.01729695	0.07643527	1.70261908	-0.00042209	-0.0012115	0.00058123	900	900	900	900
0.24066997	2.89382052	-0.01728784	0.07645055	1.70257246	-0.00034108	-0.00145242	0.00115567	900	900	900	900
0.27582216	3.16964269	-0.01729618	0.07647464	1.70246077	-0.00049563	-0.00136894	0.00063583	900	900	900	900
0.24686646	3.41650915	-0.01727012	0.07647444	1.70239747	-0.00031927	-0.00072019	0.00211622	900	900	900	900
0.26103354	3.67754269	-0.01727685	0.07649031	1.70228374	-0.00112283	-0.00130895	0.00117289	900	900	900	900
